name,latitude,longitude,info
Artesanal,-23.5454466,-46.56614,"{""@id"": ""node/181854294"", ""amenity"": ""restaurant"", ""name"": ""Artesanal""}"
Gauchão,-23.5273007,-46.5769501,"{""@id"": ""node/185633494"", ""amenity"": ""restaurant"", ""cuisine"": ""gaucho"", ""name"": ""Gauch\u00e3o""}"
Matsuri,40.443889,-3.6345377,"{""@id"": ""node/255257576"", ""addr:housenumber"": ""38"", ""addr:street"": ""Calle L\u00f3pez de Aranda"", ""amenity"": ""restaurant"", ""contact:phone"": ""+34 917 43 43 98"", ""cuisine"": ""asian"", ""name"": ""Matsuri"", ""opening_hours"": ""Mo-Su 13:00-16:30, 20:00-00:00"", ""source"": ""survey"", ""website"": ""https://matsurimadrid.com/matsuri-restaurante-asiatico-arturo-soria/""}"
Unus,40.4439935,-3.6344424,"{""@id"": ""node/255258358"", ""amenity"": ""restaurant"", ""name"": ""Unus"", ""old_name"": ""Sushi Ya!""}"
Carlos,40.4440493,-3.6343156,"{""@id"": ""node/255258806"", ""amenity"": ""restaurant"", ""name"": ""Carlos""}"
El Ratito,40.4441386,-3.6341149,"{""@id"": ""node/255259094"", ""amenity"": ""restaurant"", ""name"": ""El Ratito""}"
Eu Mundo,40.4445466,-3.6346069,"{""@id"": ""node/255259896"", ""amenity"": ""restaurant"", ""name"": ""Eu Mundo""}"
Casa Tampico,40.4448785,-3.635335,"{""@id"": ""node/255260629"", ""amenity"": ""restaurant"", ""name"": ""Casa Tampico""}"
Restaurante Boa Mesa,-25.4387185,-49.2359187,"{""@id"": ""node/270356253"", ""addr:housenumber"": ""151"", ""addr:street"": ""Rua Urbano Lopes"", ""amenity"": ""restaurant"", ""name"": ""Restaurante Boa Mesa""}"
Restaurante Millons,-25.4389085,-49.23577,"{""@id"": ""node/270357146"", ""amenity"": ""restaurant"", ""name"": ""Restaurante Millons""}"
Restaurante Dom Camilo,-25.4392757,-49.2367633,"{""@id"": ""node/270357432"", ""addr:city"": ""Curitiba"", ""addr:housenumber"": ""86"", ""addr:postcode"": ""80020-220"", ""addr:street"": ""Rua Jo\u00e3o Dranka"", ""addr:suburb"": ""Cristo Rei"", ""amenity"": ""restaurant"", ""capacity"": ""50"", ""cuisine"": ""regional;burger"", ""name"": ""Restaurante Dom Camilo"", ""outdoor_seating"": ""no"", ""smoking"": ""outside"", ""takeaway"": ""yes""}"
Graal Petropen,-24.6238716,-47.8951706,"{""@id"": ""node/295230365"", ""amenity"": ""restaurant"", ""name"": ""Graal Petropen""}"
Rancho,-22.8967621,-43.1683095,"{""@id"": ""node/299619458"", ""amenity"": ""restaurant"", ""created_by"": ""Potlatch 0.10b"", ""name"": ""Rancho""}"
Restaurante Mineirinha,-19.8624567,-43.9693182,"{""@id"": ""node/315990066"", ""addr:housenumber"": ""844"", ""addr:street"": ""Avenida Ant\u00f4nio Abrah\u00e3o Caram"", ""amenity"": ""restaurant"", ""name"": ""Restaurante Mineirinha"", ""phone"": ""+55 31 3441-7730"", ""self_service"": ""yes"", ""website"": ""http://restmineirinha.com.br/""}"
Bar do Salomão,-19.9388896,-43.9198583,"{""@id"": ""node/319258499"", ""amenity"": ""bar"", ""name"": ""Bar do Salom\u00e3o""}"
Butiquim da Esquina,-19.9449128,-43.9284796,"{""@id"": ""node/320934188"", ""addr:housenumber"": ""158"", ""addr:street"": ""Rua Vit\u00f3rio Mar\u00e7ola"", ""amenity"": ""pub"", ""contact:phone"": ""+55 31 3225-9237"", ""name"": ""Butiquim da Esquina""}"
Pizza Sur,-19.9447425,-43.9287002,"{""@id"": ""node/320934189"", ""amenity"": ""restaurant"", ""name"": ""Pizza Sur""}"
Stadt Jever,-19.9398678,-43.9312457,"{""@id"": ""node/320934190"", ""addr:housenumber"": ""5771"", ""addr:postcode"": ""30110-035"", ""addr:street"": ""Avenida do Contorno"", ""amenity"": ""pub"", ""name"": ""Stadt Jever"", ""source"": ""Web"", ""website"": ""https://www.wals.com.br/stadt-jever""}"
Chopp da Fábrica,-19.9220154,-43.9223849,"{""@id"": ""node/321017346"", ""amenity"": ""pub"", ""name"": ""Chopp da F\u00e1brica""}"
Haus Munchen,-19.9289066,-43.9549839,"{""@id"": ""node/321403282"", ""addr:city"": ""Belo Horizonte"", ""addr:housenumber"": ""1257"", ""addr:street"": ""Rua Juiz de Fora"", ""addr:suburb"": ""Santo Agostinho"", ""amenity"": ""pub"", ""cuisine"": ""yes"", ""name"": ""Haus Munchen""}"
Churrasquinho do Manuel,-19.8536675,-43.9558589,"{""@id"": ""node/322058396"", ""amenity"": ""restaurant"", ""name"": ""Churrasquinho do Manuel""}"
Fortaleza de Santa Cruz da Barra,-22.9385766,-43.1310176,"{""@id"": ""node/322766870"", ""amenity"": ""restaurant"", ""name"": ""Fortaleza de Santa Cruz da Barra""}"
La Mole,-22.9115785,-43.1087792,"{""@id"": ""node/322767789"", ""amenity"": ""restaurant"", ""name"": ""La Mole""}"
